%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
64.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 32641.772346707865, 187500.0, 187500.0, 187500.0, -0.03, -1.02, -0.02, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271559656E9, 0.0, 2021-12-20 12:21:11.559
66.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 32574.58300287521, 187500.0, 187500.0, 187500.0, -0.03, -1.02, -0.02, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271566156E9, 0.0, 2021-12-20 12:21:11.566
68.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 32494.988440869864, 187500.0, 187500.0, 187500.0, -0.032, -1.032, -0.028, 192.0, 127.5, 0.0, 111.5, 96.0, 127.5, 16.0, 0.0, 0.0, 0.0, 1.639999271573611E9, 0.0, 2021-12-20 12:21:11.573
70.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 32389.823483207645, 187500.0, 187500.0, 187500.0, -0.032, -1.032, -0.028, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271581584E9, 0.0, 2021-12-20 12:21:11.581
72.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 32255.62360949798, 187500.0, 187500.0, 187500.0, -0.032, -1.032, -0.028, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271588141E9, 0.0, 2021-12-20 12:21:11.588
74.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 32104.905796635845, 187500.0, 187500.0, 187500.0, -0.032, -1.032, -0.028, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271596131E9, 0.0, 2021-12-20 12:21:11.596
76.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31963.016922833554, 187500.0, 187500.0, 187500.0, -0.032, -1.032, -0.028, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63999927160383E9, 0.0, 2021-12-20 12:21:11.603
78.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31866.435035042174, 187500.0, 187500.0, 187500.0, -0.032, -1.036, -0.036000000000000004, 192.0, 127.5, 0.0, 111.5, 80.0, 127.0, 112.0, 0.0, 0.0, 0.0, 1.639999271612133E9, 0.0, 2021-12-20 12:21:11.612
80.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31791.53433937244, 187500.0, 187500.0, 187500.0, -0.032, -1.036, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271618076E9, 0.0, 2021-12-20 12:21:11.618
82.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31666.0739977448, 187500.0, 187500.0, 187500.0, -0.032, -1.036, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271625855E9, 0.0, 2021-12-20 12:21:11.625
84.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31556.706912124984, 187500.0, 187500.0, 187500.0, -0.032, -1.036, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63999927163383E9, 0.0, 2021-12-20 12:21:11.633
86.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31444.679968914985, 187500.0, 187500.0, 187500.0, -0.032, -1.036, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271641108E9, 0.0, 2021-12-20 12:21:11.641
88.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31348.902743923994, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.032, -0.036000000000000004, 192.0, 127.0, 112.0, 111.5, 96.0, 127.0, 112.0, 0.0, 0.0, 0.0, 1.639999271649917E9, 0.0, 2021-12-20 12:21:11.649
90.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31227.376309320487, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.032, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271657766E9, 0.0, 2021-12-20 12:21:11.657
92.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 31102.653575259876, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.032, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271670594E9, 0.0, 2021-12-20 12:21:11.670
94.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30974.04163766404, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.032, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271678163E9, 0.0, 2021-12-20 12:21:11.678
96.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30837.941865675675, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.032, -0.036000000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271686081E9, 0.0, 2021-12-20 12:21:11.686
98.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30692.476712760537, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.0350000000000001, -0.035, 192.0, 127.0, 112.0, 111.5, 72.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.639999271694419E9, 0.0, 2021-12-20 12:21:11.694
100.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30542.764728398888, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.0350000000000001, -0.035, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271704536E9, 0.0, 2021-12-20 12:21:11.704
102.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30428.234389809895, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.0350000000000001, -0.035, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271709367E9, 0.0, 2021-12-20 12:21:11.709
104.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30333.53004855276, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.0350000000000001, -0.035, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271716736E9, 0.0, 2021-12-20 12:21:11.716
106.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30257.779986593723, 187500.0, 187500.0, 187500.0, -0.036000000000000004, -1.0350000000000001, -0.035, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.639999271723004E9, 0.0, 2021-12-20 12:21:11.723
108.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30238.624541595527, 187500.0, 187500.0, 187500.0, -0.041, -1.0335, -0.0345, 192.0, 127.0, 72.0, 111.5, 96.0, 127.0, 120.0, 0.0, 0.0, 0.0, 1.639999271731065E9, 0.0, 2021-12-20 12:21:11.731
110.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 187500.0, 30201.386535332986, 187500.0, 187500.0, 187500.0, -0.041, -1.0335, -0.0345, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.63999927173918E9, 0.0, 2021-12-20 12:21:11.739
